Filename,Material,Color Palette,Shape / Structure,Theme or Motif,Artisan Style,Size,Occasion,Closure Type
brown_leather_white_bead_earrings.jpg,"Leather (Brown), Beads (White)","Brown, White",Oval,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
copper_round_earrings.jpg,Copper,Copper,Round / Circle,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
dragonfly_black_silver_earrings.jpg,"Silver, Black Wire","Black, Silver",Abstract / Geometric,Dragonfly,Nature-Inspired,Medium,Everyday Wear,Hook
seashell_pink_white_earrings.jpg,Shell / Seashell,"Pink, White",Abstract / Geometric,Seashell,Nature-Inspired,Medium,Everyday Wear,Hook
silver_chain_orange_bead_earrings.jpg,"Silver, Beads (Orange)",Silver,Chain,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_copper_chain_earrings.jpg,"Silver, Copper","Silver, Copper",Chain,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_copper_circle_chain_earrings.jpg,"Silver, Copper","Silver, Copper","Round / Circle, Chain",Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_copper_teardrop_earrings.jpg,"Silver, Copper","Silver, Copper",Teardrop,Abstract / Geometric,Minimalist,Medium,Everyday Wear,Hook
silver_purple_shell_jellyfish_earrings.jpg,"Silver, Shell / Seashell","Silver, Purple",Round / Circle,"Jellyfish, Seashell",Nature-Inspired,Medium,Everyday Wear,Hook
silver_spiral_blue_stone_earrings.jpg,"Silver, Stone (Blue Stone)","Silver, Blue",Spiral,Abstract / Geometric,Wire-Wrapped,Medium,Everyday Wear,Hook
silver_wire_wooden_bead_earrings.jpg,"Silver, Wood","Silver, Brown",Zigzag,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
turtle_black_blue_white_earrings.jpg,Black Wire,"Black, Blue, White",Abstract / Geometric,Turtle,Nature-Inspired,Medium,Everyday Wear,Hook
white_bead_brown_leather_earrings.jpg,"Beads (White), Leather (Brown)","White, Brown",Round / Circle,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
white_black_purple_square_earrings.jpg,"Beads (White, Purple), Black Wire","White, Black, Purple",Square,Abstract / Geometric,Bold Statement,Medium,Everyday Wear,Hook
wooden_bead_horizontal_earrings.jpg,Wood,Brown,Horizontal Layout,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
wooden_bead_metal_earrings.jpg,"Wood, Metal","Brown, Black",Vertical Layout,Abstract / Geometric,Rustic / Earthy,Medium,Everyday Wear,Hook
blue_black_dice_earrings.jpg,"Glass (Dice), Metal (Hook)","Blue, Black",Cube,Dice / Gaming,Unique / Artistic,Medium,Special Occasion / Fashion Statement,Hook
blue_green_crystal_cube_earrings.jpg,"Crystal, Metal (Wire, Hook)","Blue, Green, Black",Cube,Numbers, Dice-like,Unique, Vibrant,Medium,Fashion Statement, Special Occasion,Hook
black_blue_white_earrings.jpg,"Unknown","Blue, White, Black",Circle,None,Unknown,Large,Everyday Wear,Hook
bead_black_blue_white_earrings.jpg,"Beads, Metal (Wire, Hook)","Blue, White, Black",Circle,Numbers, Dice-like,Unknown,Small,Everyday Wear,Hook
